Ano,Categoria,Produto,Quantidade(L.)
1981,DERIVADOS,Vinho licoroso,-
1981,DERIVADOS,Brandy,-
1981,DERIVADOS,Destilado,-
1981,DERIVADOS,Bagaceira,-
1981,DERIVADOS,Licor de bagaceira,-
1981,DERIVADOS,Vinagre,-
1981,DERIVADOS,Borra líquida,3.767.852
1981,DERIVADOS,Borra seca,-
1981,DERIVADOS,Vinho Composto,-
1981,DERIVADOS,Pisco,-
1981,DERIVADOS,Vinho orgânico,-
1981,DERIVADOS,Espumante orgânico,-
1981,DERIVADOS,Destilado alcoólico simples de bagaceira,-
1981,DERIVADOS,Vinho acidificado,-
1981,DERIVADOS,Mosto parcialmente fermentado,-
1981,DERIVADOS,Outros derivados,-
1982,VINHO DE MESA,-,234.754.564
1982,VINHO DE MESA,Tinto,183.349.460
1982,VINHO DE MESA,Branco,15.782.499
1982,VINHO DE MESA,Rosado,35.622.605
1982,VINHO FINO DE MESA (VINIFERA),-,57.453.581
1982,VINHO FINO DE MESA (VINIFERA),Tinto,19.987.588
1982,VINHO FINO DE MESA (VINIFERA),Branco,34.423.412
